reading_id,event_id,parameter_id,value_numeric,value_text
276,31,pressure,924.0,
277,31,humidity,62.0,
278,31,wind_speed,0.46,
279,31,weather_desc,,foggy
280,32,water_temp,4.0,
281,32,ph,8.01,
282,32,conductivity,352.0,
283,32,turbidity,10.3,
284,32,ambient_temp,3.0,
285,32,pressure,929.0,
286,32,humidity,58.0,
287,32,wind_speed,0.35,
288,32,weather_desc,,"Cloudy, no rain"
289,33,water_temp,5.0,
290,33,ph,8.11,
291,33,conductivity,401.0,
292,33,turbidity,8.07,
293,33,ambient_temp,9.0,
294,33,pressure,913.0,
295,33,humidity,71.0,
296,33,wind_speed,2.1,
297,33,weather_desc,,Cloudy
298,34,water_temp,7.69,
299,34,ph,7.71,
300,34,conductivity,819.0,
301,34,turbidity,18.3,
302,34,ambient_temp,26.5,
303,34,pressure,908.9,
304,34,humidity,42.8,
305,34,wind_speed,0.34,
306,34,weather_desc,,"Cloudy, no rain"
307,35,water_temp,8.0,
308,35,ph,8.0,
309,35,conductivity,822.0,
310,35,turbidity,17.3,
311,35,ambient_temp,25.0,
312,35,pressure,918.0,
313,35,humidity,44.0,
314,35,wind_speed,0.37,
315,35,weather_desc,,"Cloudy, no rain"
316,36,water_temp,8.9,
317,36,ph,7.95,
318,36,conductivity,821.0,
319,36,turbidity,18.4,
320,36,ambient_temp,31.9,
321,36,humidity,31.0,
322,36,wind_speed,0.16,
323,36,weather_desc,,sunny 
324,37,water_temp,7.93,
325,37,ph,8.09,
326,37,conductivity,816.0,
327,37,turbidity,12.6,
328,37,ambient_temp,29.2,
329,37,pressure,918.0,
330,37,humidity,30.0,
331,37,wind_speed,0.64,
332,37,weather_desc,,sunny 
333,38,water_temp,7.0,
334,38,ph,8.09,
335,38,conductivity,816.0,
336,38,turbidity,12.6,
337,38,ambient_temp,13.8,
338,38,pressure,919.5,
339,38,humidity,64.2,
340,38,wind_speed,0.12,
341,38,weather_desc,,"Cloudy,foggy"
342,39,water_temp,6.8,
343,39,ph,8.15,
344,39,conductivity,641.0,
345,39,turbidity,6.31,
346,39,ambient_temp,9.4,
347,39,pressure,917.0,
348,39,humidity,62.2,
349,39,wind_speed,0.41,
350,39,weather_desc,,"Cloudy,foggy"
351,40,water_temp,6.6,
352,40,ph,8.19,
353,40,conductivity,452.0,
354,40,turbidity,3.01,
355,40,ambient_temp,9.0,
356,40,pressure,908.0,
357,40,humidity,84.0,
358,40,wind_speed,1.53,
359,40,weather_desc,,Rain
360,41,water_temp,4.0,
361,41,ph,8.06,
362,41,conductivity,593.0,
363,41,turbidity,5.37,
364,41,ambient_temp,-1.0,
365,41,pressure,927.0,
366,41,humidity,51.0,
367,41,wind_speed,0.51,
368,41,weather_desc,,sunny 
369,42,water_temp,4.0,
370,42,ph,8.22,
371,42,conductivity,645.0,
372,42,turbidity,5.79,
373,42,ambient_temp,0.0,
374,42,pressure,917.0,
375,42,humidity,80.0,
376,42,wind_speed,0.54,
377,42,weather_desc,,foggy
378,43,water_temp,5.0,
379,43,ph,8.14,
380,43,conductivity,624.0,
381,43,turbidity,5.64,
382,43,ambient_temp,4.0,
383,43,pressure,922.8,
384,43,humidity,72.0,
385,43,wind_speed,0.89,
386,43,weather_desc,,"Cloudy, no rain"
387,44,water_temp,5.0,
388,44,ph,8.18,
389,44,conductivity,701.0,
390,44,turbidity,8.59,
391,44,ambient_temp,9.0,
392,44,pressure,906.0,
393,44,humidity,58.0,
394,44,wind_speed,0.41,
395,44,weather_desc,,Cloudy
396,45,water_temp,23.0,
397,45,ph,3.01,
398,45,conductivity,2025.0,
399,45,turbidity,1.29,
400,45,ambient_temp,22.9,
401,45,pressure,880.6,
402,45,humidity,50.0,
403,45,wind_speed,0.65,
404,45,weather_desc,,"Cloudy, no rain"
405,46,water_temp,21.16,
406,46,ph,3.0,
407,46,conductivity,2035.0,
408,46,turbidity,0.62,
409,46,ambient_temp,26.3,
410,46,pressure,889.0,
411,46,humidity,39.2,
412,46,wind_speed,0.7,
413,46,weather_desc,,"Cloudy, no rain"
414,47,water_temp,25.0,
415,47,ph,2.93,
416,47,conductivity,2044.0,
417,47,turbidity,0.69,
418,47,ambient_temp,31.1,
419,47,pressure,893.0,
420,47,humidity,39.1,
421,47,wind_speed,0.22,
422,47,weather_desc,,sunny 
423,48,water_temp,21.17,
424,48,ph,2.99,
425,48,conductivity,2078.0,
426,48,turbidity,0.49,
427,48,ambient_temp,26.3,
428,48,pressure,889.0,
429,48,humidity,39.9,
430,48,wind_speed,1.51,
431,48,weather_desc,,sunny 
432,49,water_temp,5.0,
433,49,ph,2.99,
434,49,conductivity,2078.0,
435,49,turbidity,0.49,
436,49,ambient_temp,9.9,
437,49,pressure,889.5,
438,49,humidity,66.6,
439,49,wind_speed,0.5,
440,49,weather_desc,,"Cloudy,foggy"
441,50,water_temp,4.8,
442,50,ph,3.07,
443,50,conductivity,1738.0,
444,50,turbidity,3.02,
445,50,ambient_temp,8.2,
446,50,pressure,888.0,
447,50,humidity,62.0,
448,50,wind_speed,0.5,
449,50,weather_desc,,"Cloudy,foggy"
450,51,water_temp,4.6,
451,51,ph,3.2,
452,51,conductivity,1564.0,
453,51,turbidity,21.0,
454,51,ambient_temp,8.0,
455,51,pressure,879.0,
456,51,humidity,81.0,
457,51,wind_speed,1.05,
458,51,weather_desc,,Rain
459,52,water_temp,2.0,
460,52,ph,3.17,
461,52,conductivity,1587.0,
462,52,turbidity,5.45,
463,52,ambient_temp,3.0,
464,52,pressure,896.0,
465,52,humidity,50.3,
466,52,wind_speed,0.77,
467,52,weather_desc,,sunny 
468,53,water_temp,1.0,
469,53,ph,3.22,
470,53,conductivity,1590.0,
471,53,turbidity,5.95,
472,53,ambient_temp,-1.0,
473,53,pressure,886.0,
474,53,humidity,63.0,
475,53,wind_speed,0.43,
476,53,weather_desc,,dense fog
477,54,water_temp,0.0,
478,54,ph,7.47,
479,54,conductivity,235.0,
480,54,turbidity,1.21,
481,54,ambient_temp,7.0,
482,54,pressure,890.0,
483,54,humidity,57.0,
484,54,wind_speed,0.14,
485,54,weather_desc,,sunny 
486,55,water_temp,2.0,
487,55,ph,3.42,
488,55,conductivity,1024.0,
489,55,turbidity,9.63,
490,55,ambient_temp,8.0,
491,55,pressure,876.0,
492,55,humidity,64.0,
493,55,wind_speed,1.57,
494,55,weather_desc,,Cloudy
